         78213 function calls (69213 primitive calls) in 0.796 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      116    0.648    0.006    0.648    0.006 {method 'recv' of '_socket.socket' objects}
      432    0.074    0.000    0.074    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      432    0.011    0.000    0.011    0.000 {method 'write' of '_io.TextIOWrapper' objects}
19045/10045    0.005    0.000    0.008    0.000 encoder.py:333(_iterencode_dict)
      116    0.003    0.000    0.003    0.000 {method 'sendall' of '_socket.socket' objects}
       83    0.003    0.000    0.003    0.000 encoder.py:204(iterencode)
      216    0.003    0.000    0.007    0.000 __init__.py:284(__init__)
     9345    0.002    0.000    0.006    0.000 encoder.py:277(_iterencode_list)
      432    0.002    0.000    0.077    0.000 __init__.py:1058(flush)
     1938    0.002    0.000    0.002    0.000 Character.py:26(display)
      648    0.002    0.000    0.009    0.000 __init__.py:651(format)
    10045    0.002    0.000    0.010    0.000 encoder.py:413(_iterencode)
      432    0.002    0.000    0.002    0.000 {built-in method time.localtime}
      216    0.001    0.000    0.002    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
       83    0.001    0.000    0.015    0.000 encoder.py:182(encode)
      432    0.001    0.000    0.094    0.000 __init__.py:1069(emit)
      648    0.001    0.000    0.001    0.000 __init__.py:431(_format)
      216    0.001    0.000    0.002    0.000 __init__.py:1502(findCaller)
      216    0.001    0.000    0.107    0.000 __init__.py:1633(callHandlers)
      216    0.001    0.000    0.008    0.000 handlers.py:175(shouldRollover)
      432    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      432    0.001    0.000    0.106    0.000 __init__.py:937(handle)
     8064    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      191    0.001    0.000    0.100    0.001 __init__.py:1424(info)
      648    0.001    0.000    0.001    0.000 __init__.py:360(getMessage)
      105    0.001    0.000    0.002    0.000 Game.py:212(update_game_state)
      216    0.001    0.000    0.117    0.001 __init__.py:1553(_log)
      864    0.001    0.000    0.001    0.000 __init__.py:901(release)
      648    0.001    0.000    0.010    0.000 __init__.py:914(format)
       20    0.001    0.000    0.319    0.016 Player.py:326(move)
      864    0.001    0.000    0.001    0.000 __init__.py:894(acquire)
      865    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
